P,lK1_ratio,lK3_ratio
1285.8407205535955,(0.9024984481056191-7.424902921333041e-12j),(0.5492240091507645-1.7074162000892868e-11j)
1367.3557047269433,(0.8834486996083687-7.494672679361348e-12j),(0.6222341585899762-4.642166718532314e-11j)
1454.0382750084082,(0.9164207001175646-7.237381630635753e-12j),(0.5857670631852469-1.3953030109046835e-10j)
1546.2160269493506,(0.899993221920298+1.1225555839598296e-12j),(0.6363587931110054+8.283140363633203e-11j)
1644.2373237948045,(0.931954812983872-8.523623401553187e-13j),(0.6450846688660171-7.16481942292929e-11j)
1748.4726130370498,(0.9210097099458716+4.711242953028e-13j),(0.7146120075189408-1.8566152819620355e-11j)
1859.315826431229,(0.9284732298755849+5.479962900066083e-12j),(0.7160420575423815+6.013333229835855e-11j)
1977.185868763959,(0.9355022705227323+6.136672577229061e-12j),(0.7028539868631725+4.7418966792398844e-11j)
2102.528201001401,(0.9339271109713915-2.8545383107845086e-14j),(0.7281696867928352-7.349231250200063e-12j)
2235.8165237999347,(0.9301104375160671+6.953596636634369e-13j),(0.7675530463371368-3.009044323832511e-11j)
2377.5545677418004,(0.9359107815157272-5.655133921742561e-12j),(0.7682794959620872+1.1267651046846072e-11j)
2528.277997061494,(0.9362767450027754+6.733035494250528e-12j),(0.777715840222112+4.840124736286405e-11j)
2688.5564340576107,(0.9239372845385182-5.518753090937031e-12j),(0.8083628359154433-1.4671243434657152e-11j)
2858.995611840851,(0.9306441121483572+9.602453927997606e-12j),(0.812914876300562+5.364261511822545e-11j)
P,lK1_ratio,lK3_ratio
2264.936448992798,(0.927190173791962-5.125673548367131e-12j),(0.7440896468628506-1.9263407587555248e-11j)
2970.142489893412,(0.9235331923483208-1.911448306688883e-11j),(0.8217000573050193-4.13853160329547e-11j)
3894.920060204436,(0.9344490082504204-4.950762797643572e-14j),(0.8792449778366984-6.0493319747793075e-12j)
5107.634508109851,(0.9453373570507123-1.272800408368823e-11j),(0.9031086559009629-3.869035213495982e-11j)
6697.937278606251,(0.9631774607514524-3.540106271951882e-12j),(0.9240514142563718-6.361684960077675e-12j)
8783.393509639587,(0.9633832743727041-3.7485219555711606e-12j),(0.9396412592015655-1.3045973567990657e-11j)
11518.173183197137,(0.9638925394017862-5.2376279422741446e-12j),(0.9523372645382856-1.150119668132659e-11j)
15104.448335659885,(0.9729409281443457+4.822718787057045e-12j),(0.9606631541599658+2.0022037390746407e-12j)
19807.338880564726,(0.9779917564692785-8.587437030838e-13j),(0.9699149035392874-2.704637455397945e-12j)
25974.511932573107,(0.9825724935953827+4.554055394642183e-13j),(0.9766471867589727+1.813205176901072e-12j)
34061.88353738844,(0.9847200779069606-5.1782157592291066e-14j),(0.9827706084262974-1.1139799268189966e-12j)
44667.32284042113,(0.9891863299874308-5.095849993071699e-13j),(0.9883300180255404-5.545397931909399e-13j)
58574.85031737566,(0.9916319881658082-2.379754760953575e-13j),(0.9899633918955194-2.645219023234441e-13j)
76812.59747669747,(0.9944718461294554+1.8103167357927193e-13j),(0.9927089192218732-7.756174052727687e-13j)
100728.81277797997,(0.9940691395384915+9.707279441407048e-13j),(0.9940890144964459+1.011117323136758e-12j)
132091.5325997072,(0.9962988925388561+2.0193158912246388e-12j),(0.9959194304854609+5.515712293747022e-13j)
173219.2855583204,(0.997012526260115+4.761613740106621e-14j),(0.996810214931019+2.581599402555018e-13j)
227152.4926602405,(0.9978346922127178+5.219410143924586e-13j),(0.9976285120569459+1.9519907557509355e-13j)
297878.23425924615,(0.9987253988868579+7.27346103470672e-14j),(0.998279109135038+3.898626784329299e-13j)
390625.0,(0.9986869774007248+4.801183665582027e-13j),(0.9984847389496108+2.860125993765222e-13j)
